2022-01-07 17:40:40,172 auto_trainer.py INFO 106: train_conf_name : rm_m4_r1
2022-01-07 17:40:40,172 auto_trainer.py INFO 107: Device : cuda
2022-01-07 17:40:40,172 auto_trainer.py INFO 108: We are on!!!
2022-01-07 17:40:51,402 auto_trainer.py INFO 123: Retraining Model rm_m4_r1 : Jan-05-2022 Epoch: 21
2022-01-07 17:41:53,856 auto_trainer.py WARNING 225: Graceful Exit
2022-01-07 17:42:42,999 auto_trainer.py INFO 106: train_conf_name : rm_m4_r1
2022-01-07 17:42:42,999 auto_trainer.py INFO 107: Device : cuda
2022-01-07 17:42:42,999 auto_trainer.py INFO 108: We are on!!!
2022-01-07 17:42:53,204 auto_trainer.py INFO 123: Retraining Model rm_m4_r1 : Jan-05-2022 Epoch: 21
2022-01-07 18:11:43,044 auto_trainer.py INFO 199: [22/100] At 6 dB, Loss: -0.0134725915 BER: 0.0014400000
2022-01-07 18:11:43,045 auto_trainer.py INFO 200: Time for one full iteration is 28.8307 minutes
2022-01-07 18:40:21,953 auto_trainer.py INFO 199: [23/100] At 6 dB, Loss: -0.0094031217 BER: 0.0009600000
2022-01-07 18:40:21,954 auto_trainer.py INFO 200: Time for one full iteration is 28.6485 minutes
2022-01-07 19:07:51,821 auto_trainer.py INFO 199: [24/100] At 6 dB, Loss: -0.0117169535 BER: 0.0009200000
2022-01-07 19:07:51,821 auto_trainer.py INFO 200: Time for one full iteration is 27.4978 minutes
2022-01-07 19:35:06,111 auto_trainer.py INFO 199: [25/100] At 6 dB, Loss: -0.0116061801 BER: 0.0006800000
2022-01-07 19:35:06,112 auto_trainer.py INFO 200: Time for one full iteration is 27.2382 minutes
2022-01-07 20:03:06,145 auto_trainer.py INFO 199: [26/100] At 6 dB, Loss: -0.0129629876 BER: 0.0008400000
2022-01-07 20:03:06,145 auto_trainer.py INFO 200: Time for one full iteration is 28.0006 minutes
