2022-01-09 15:59:30,275 auto_trainer.py INFO 106: train_conf_name : rm_m4_r1
2022-01-09 15:59:30,275 auto_trainer.py INFO 107: Device : cuda
2022-01-09 15:59:30,275 auto_trainer.py INFO 108: We are on!!!
2022-01-09 15:59:41,326 auto_trainer.py INFO 123: Retraining Model rm_m4_r1 : Jan-05-2022 Epoch: 21
2022-01-09 16:23:37,602 auto_trainer.py INFO 199: [22/100] At 6 dB, Loss: -0.0133621506 BER: 0.0013200000
2022-01-09 16:23:37,603 auto_trainer.py INFO 200: Time for one full iteration is 23.9378 minutes
2022-01-09 16:47:29,976 auto_trainer.py INFO 199: [23/100] At 6 dB, Loss: -0.0092903748 BER: 0.0009400000
2022-01-09 16:47:29,977 auto_trainer.py INFO 200: Time for one full iteration is 23.8729 minutes
2022-01-09 17:11:22,666 auto_trainer.py INFO 199: [24/100] At 6 dB, Loss: -0.0116261207 BER: 0.0010600000
2022-01-09 17:11:22,666 auto_trainer.py INFO 200: Time for one full iteration is 23.8782 minutes
2022-01-09 17:35:14,361 auto_trainer.py INFO 199: [25/100] At 6 dB, Loss: -0.0113742240 BER: 0.0009000000
2022-01-09 17:35:14,362 auto_trainer.py INFO 200: Time for one full iteration is 23.8616 minutes
2022-01-09 17:57:55,507 auto_trainer.py INFO 199: [26/100] At 6 dB, Loss: -0.0126889665 BER: 0.0007800000
2022-01-09 17:57:55,508 auto_trainer.py INFO 200: Time for one full iteration is 22.6858 minutes
2022-01-09 18:20:33,510 auto_trainer.py INFO 199: [27/100] At 6 dB, Loss: -0.0118344249 BER: 0.0007800000
2022-01-09 18:20:33,511 auto_trainer.py INFO 200: Time for one full iteration is 22.6266 minutes
2022-01-09 18:42:51,911 auto_trainer.py INFO 199: [28/100] At 6 dB, Loss: -0.0124065140 BER: 0.0005400000
2022-01-09 18:42:51,911 auto_trainer.py INFO 200: Time for one full iteration is 22.3067 minutes
2022-01-09 19:05:19,470 auto_trainer.py INFO 199: [29/100] At 6 dB, Loss: -0.0121799577 BER: 0.0004800000
2022-01-09 19:05:19,471 auto_trainer.py INFO 200: Time for one full iteration is 22.4593 minutes
2022-01-09 19:27:53,102 auto_trainer.py INFO 199: [30/100] At 6 dB, Loss: -0.0122396993 BER: 0.0007400000
2022-01-09 19:27:53,103 auto_trainer.py INFO 200: Time for one full iteration is 22.5605 minutes
2022-01-09 19:51:52,865 auto_trainer.py INFO 199: [31/100] At 6 dB, Loss: -0.0115651079 BER: 0.0006600000
2022-01-09 19:51:52,866 auto_trainer.py INFO 200: Time for one full iteration is 23.9961 minutes
2022-01-09 20:14:27,417 auto_trainer.py INFO 199: [32/100] At 6 dB, Loss: -0.0112115191 BER: 0.0005400000
2022-01-09 20:14:27,417 auto_trainer.py INFO 200: Time for one full iteration is 22.5723 minutes
2022-01-09 20:37:05,056 auto_trainer.py INFO 199: [33/100] At 6 dB, Loss: -0.0129016917 BER: 0.0004400000
2022-01-09 20:37:05,056 auto_trainer.py INFO 200: Time for one full iteration is 22.6273 minutes
2022-01-09 21:01:09,383 auto_trainer.py INFO 199: [34/100] At 6 dB, Loss: -0.0130789103 BER: 0.0005600000
2022-01-09 21:01:09,384 auto_trainer.py INFO 200: Time for one full iteration is 24.0721 minutes
2022-01-09 21:23:43,837 auto_trainer.py INFO 199: [35/100] At 6 dB, Loss: -0.0124056656 BER: 0.0003600000
2022-01-09 21:23:43,837 auto_trainer.py INFO 200: Time for one full iteration is 22.5742 minutes
2022-01-09 21:46:41,383 auto_trainer.py INFO 199: [36/100] At 6 dB, Loss: -0.0154648647 BER: 0.0005000000
2022-01-09 21:46:41,383 auto_trainer.py INFO 200: Time for one full iteration is 22.9591 minutes
