==========================================
SLURM_JOB_ID = 567367
SLURM_NODELIST = gnode55
SLURM_JOB_GPUS = 2
==========================================
auto_trainer.py INFO 106: train_conf_name : rm_m4_r1
auto_trainer.py INFO 107: Device : cuda
auto_trainer.py INFO 108: We are on!!!
auto_trainer.py INFO 123: Retraining Model rm_m4_r1 : Jan-05-2022 Epoch: 21
auto_trainer.py INFO 199: [22/100] At 6 dB, Loss: -0.0133621506 BER: 0.0013200000
auto_trainer.py INFO 200: Time for one full iteration is 23.9378 minutes
auto_trainer.py INFO 199: [23/100] At 6 dB, Loss: -0.0092903748 BER: 0.0009400000
auto_trainer.py INFO 200: Time for one full iteration is 23.8729 minutes
auto_trainer.py INFO 199: [24/100] At 6 dB, Loss: -0.0116261207 BER: 0.0010600000
auto_trainer.py INFO 200: Time for one full iteration is 23.8782 minutes
auto_trainer.py INFO 199: [25/100] At 6 dB, Loss: -0.0113742240 BER: 0.0009000000
auto_trainer.py INFO 200: Time for one full iteration is 23.8616 minutes
auto_trainer.py INFO 199: [26/100] At 6 dB, Loss: -0.0126889665 BER: 0.0007800000
auto_trainer.py INFO 200: Time for one full iteration is 22.6858 minutes
auto_trainer.py INFO 199: [27/100] At 6 dB, Loss: -0.0118344249 BER: 0.0007800000
auto_trainer.py INFO 200: Time for one full iteration is 22.6266 minutes
auto_trainer.py INFO 199: [28/100] At 6 dB, Loss: -0.0124065140 BER: 0.0005400000
auto_trainer.py INFO 200: Time for one full iteration is 22.3067 minutes
auto_trainer.py INFO 199: [29/100] At 6 dB, Loss: -0.0121799577 BER: 0.0004800000
auto_trainer.py INFO 200: Time for one full iteration is 22.4593 minutes
auto_trainer.py INFO 199: [30/100] At 6 dB, Loss: -0.0122396993 BER: 0.0007400000
auto_trainer.py INFO 200: Time for one full iteration is 22.5605 minutes
auto_trainer.py INFO 199: [31/100] At 6 dB, Loss: -0.0115651079 BER: 0.0006600000
auto_trainer.py INFO 200: Time for one full iteration is 23.9961 minutes
auto_trainer.py INFO 199: [32/100] At 6 dB, Loss: -0.0112115191 BER: 0.0005400000
auto_trainer.py INFO 200: Time for one full iteration is 22.5723 minutes
auto_trainer.py INFO 199: [33/100] At 6 dB, Loss: -0.0129016917 BER: 0.0004400000
auto_trainer.py INFO 200: Time for one full iteration is 22.6273 minutes
auto_trainer.py INFO 199: [34/100] At 6 dB, Loss: -0.0130789103 BER: 0.0005600000
auto_trainer.py INFO 200: Time for one full iteration is 24.0721 minutes
